id,name,year,dimensions,environments,sensors,platforms,tasks,original_contributors,official_page,primary_publication,terms_or_license,access_class,account_required,agreement_required,commercial_use,redistribution,license_name,verification_status,last_checked,discovery_sources,adjacent_non_lidar,notes
3dref-dataset,3DRef Dataset,2024,3D,indoor | reflective environments,Ouster OS0-128 | Hesai QT64 | Livox Avia | RGB cameras,mobile platform,reflection detection | semantic segmentation,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://3dref.github.io/,https://3dref.github.io/,https://3dref.github.io/,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
a2d2,Audi Autonomous Driving Dataset (A2D2),2020,3D,outdoor | urban | road,LiDAR | cameras | bus signals,,semantic segmentation | 3D detection | sensor fusion,Audi Electronics Venture GmbH,https://www.a2d2.audi/,https://www.a2d2.audi/a2d2/en.html,https://www.a2d2.audi/a2d2/en.html,OPEN_DIRECT,False,False,license_limited,license_controlled,CC BY-ND 4.0 (provider-declared),verified,2026-08-03,,False,Download from the provider or its designated public cloud location. NoDerivatives restrictions require careful treatment of redistributed adaptations.
apollo-daoxianglake-dataset,Apollo DaoxiangLake Dataset,2020,3D,outdoor | park | seasonal,Velodyne HDL-64E | camera | IMU,vehicle,localization | long-term localization,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://developer.apollo.auto/daoxianglake.html,https://developer.apollo.auto/daoxianglake.html,https://developer.apollo.auto/daoxianglake.html,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
apollo-southbay-dataset,Apollo SouthBay Dataset,2019,3D,outdoor | urban | highway,Velodyne HDL-64E | IMU,vehicle,localization | mapping,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://developer.apollo.auto/southbay.html,https://developer.apollo.auto/southbay.html,https://developer.apollo.auto/southbay.html,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
argoverse-1,Argoverse 1,2019,3D,outdoor | urban | road,automotive LiDAR | cameras | HD maps,vehicle,3D tracking | motion forecasting | 3D detection,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://www.argoverse.org/av1.html,https://www.argoverse.org/av1.html,https://www.argoverse.org/av1.html,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,szenergy/awesome-lidar,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
argoverse2,Argoverse 2,2023,3D,outdoor | urban | road,LiDAR | cameras | maps,,3D detection | tracking | motion forecasting | scene flow,Benjamin Wilson et al.; Argo AI / Argoverse,https://www.argoverse.org/av2.html,https://arxiv.org/abs/2301.00493,https://www.argoverse.org/av2.html,OPEN_DIRECT,False,False,noncommercial,license_controlled,CC BY-NC-SA 4.0 (verify each component),verified,2026-08-03,,False,Follow the official user guide and cloud-download instructions; review component-specific licenses.
boreas-dataset,Boreas Dataset,2023,3D,outdoor | urban | adverse weather | seasonal,Velodyne Alpha Prime | Navtech radar | cameras | GPS/INS,vehicle,odometry | place recognition | 3D detection | seasonal localization,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://www.boreas.utias.utoronto.ca/,https://www.boreas.utias.utoronto.ca/,https://www.boreas.utias.utoronto.ca/,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
botanicgarden-dataset,BotanicGarden Dataset,2024,3D,outdoor | botanical garden | vegetated,Velodyne VLP-16 | Livox Avia | cameras | IMU,ground robot,odometry | localization | place recognition,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://github.com/robot-pesg/BotanicGarden,https://github.com/robot-pesg/BotanicGarden,https://github.com/robot-pesg/BotanicGarden,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,minwoo0611/Awesome-3D-LiDAR-Datasets,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
brno-urban-dataset,Brno Urban Dataset,2020,3D,outdoor | urban,3D LiDAR | cameras | GNSS/IMU,vehicle,navigation | localization | SLAM,See the official project page and primary publication; contributor names are pending independent atlas verification.,https://github.com/Robotics-BUT/Brno-Urban-Dataset,https://github.com/Robotics-BUT/Brno-Urban-Dataset,https://github.com/Robotics-BUT/Brno-Urban-Dataset,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,szenergy/awesome-lidar,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
canadian-adverse-driving-conditions-dataset,Canadian Adverse Driving Conditions Dataset,2020,3D,outdoor | road | snow | adverse weather,automotive LiDAR | cameras | GNSS/IMU,vehicle,3D detection | adverse-weather perception,See the official project page and primary publication; contributor names are pending independent atlas verification.,http://cadcd.uwaterloo.ca/,http://cadcd.uwaterloo.ca/,http://cadcd.uwaterloo.ca/,UNVERIFIED_PROVIDER_CONTROLLED,unknown,unknown,verify_provider_terms,not_permitted_without_explicit_provider_terms,Provider terms not yet independently classified,discovery_only,2026-08-03,szenergy/awesome-lidar,False,Discovery-only record. The atlas independently rewrote this summary and has not yet completed legal/access verification.
