id,name,category,subcategory,official_url,repository_url,summary,source_collections,legal_note,verification_status,last_checked
3d-bat,3D BAT,tool,tool,https://github.com/walzimmer/3d-bat,https://github.com/walzimmer/3d-bat,Web-based semi-automatic 3D bounding-box annotation toolbox.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
aeva,Aeva,manufacturer,manufacturer,https://www.aeva.com/,https://github.com/aevainc,FMCW 4D LiDAR and perception technology.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
airsim,AirSim,simulator,simulator,https://microsoft.github.io/AirSim/,https://github.com/microsoft/AirSim,Unreal-based simulation for drones and vehicles with synthetic sensors.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
alfa-framework,ALFA Framework,framework,framework,https://ieeexplore.ieee.org/document/11024231,,Framework for embedded and hardware-accelerated LiDAR processing research.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
autoware,Autoware,framework,framework,https://www.autoware.org/,https://github.com/autowarefoundation/autoware,Open-source autonomous-driving software stack based on ROS 2.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
awesome-3d-lidar-datasets,Awesome 3D LiDAR Datasets,related-list,related-list,https://github.com/minwoo0611/Awesome-3D-LiDAR-Datasets,https://github.com/minwoo0611/Awesome-3D-LiDAR-Datasets,Focused collection of public 3D LiDAR datasets.,szenergy/awesome-lidar,Follow the source repository license. The atlas does not claim ownership of the linked collection.,source_listed,2026-08-03
awesome-artificial-intelligence,Awesome Artificial Intelligence,related-list,related-list,https://github.com/owainlewis/awesome-artificial-intelligence,https://github.com/owainlewis/awesome-artificial-intelligence,General artificial-intelligence resources.,szenergy/awesome-lidar,Follow the source repository license. The atlas does not claim ownership of the linked collection.,source_listed,2026-08-03
awesome-computer-vision,Awesome Computer Vision,related-list,related-list,https://github.com/jbhuang0604/awesome-computer-vision,https://github.com/jbhuang0604/awesome-computer-vision,"Computer-vision resources, datasets, and methods.",szenergy/awesome-lidar,Follow the source repository license. The atlas does not claim ownership of the linked collection.,source_listed,2026-08-03
awesome-deep-learning,Awesome Deep Learning,related-list,related-list,https://github.com/ChristosChristofidis/awesome-deep-learning,https://github.com/ChristosChristofidis/awesome-deep-learning,Deep-learning resources and projects.,szenergy/awesome-lidar,Follow the source repository license. The atlas does not claim ownership of the linked collection.,source_listed,2026-08-03
awesome-lidar-camera-calibration,Awesome LiDAR-Camera Calibration,related-list,related-list,https://github.com/Deephome/Awesome-LiDAR-Camera-Calibration,https://github.com/Deephome/Awesome-LiDAR-Camera-Calibration,LiDAR-camera calibration methods and resources.,szenergy/awesome-lidar,Follow the source repository license. The atlas does not claim ownership of the linked collection.,source_listed,2026-08-03
awesome-lidar-mos,Awesome LiDAR MOS,related-list,related-list,https://github.com/neng-wang/Awesome-LiDAR-MOS,https://github.com/neng-wang/Awesome-LiDAR-MOS,Moving-object segmentation in LiDAR data.,szenergy/awesome-lidar,Follow the source repository license. The atlas does not claim ownership of the linked collection.,source_listed,2026-08-03
awesome-lidar-place-recognition,Awesome LiDAR Place Recognition,related-list,related-list,https://github.com/hogyun2/awesome-lidar-place-recognition,https://github.com/hogyun2/awesome-lidar-place-recognition,LiDAR place-recognition research.,szenergy/awesome-lidar,Follow the source repository license. The atlas does not claim ownership of the linked collection.,source_listed,2026-08-03
awesome-lidar-visual-slam,Awesome LiDAR Visual SLAM,related-list,related-list,https://github.com/sjtuyinjie/awesome-LiDAR-Visual-SLAM,https://github.com/sjtuyinjie/awesome-LiDAR-Visual-SLAM,Visual-LiDAR SLAM research collection.,szenergy/awesome-lidar,Follow the source repository license. The atlas does not claim ownership of the linked collection.,source_listed,2026-08-03
awesome-lidar,Awesome LIDAR,related-list,related-list,https://github.com/szenergy/awesome-lidar,https://github.com/szenergy/awesome-lidar,"Broad LiDAR ecosystem list spanning hardware, data, methods, and simulators.",szenergy/awesome-lidar,Follow the source repository license. The atlas does not claim ownership of the linked collection.,source_listed,2026-08-03
awesome-machine-learning,Awesome Machine Learning,related-list,related-list,https://github.com/josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,Machine-learning frameworks and resources.,szenergy/awesome-lidar,Follow the source repository license. The atlas does not claim ownership of the linked collection.,source_listed,2026-08-03
awesome-point-cloud-analysis,Awesome Point Cloud Analysis,related-list,related-list,https://github.com/Yochengliu/awesome-point-cloud-analysis,https://github.com/Yochengliu/awesome-point-cloud-analysis,Curated point-cloud analysis resources.,szenergy/awesome-lidar,Follow the source repository license. The atlas does not claim ownership of the linked collection.,source_listed,2026-08-03
awesome-reinforcement-learning,Awesome Reinforcement Learning,related-list,related-list,https://github.com/aikorea/awesome-rl,https://github.com/aikorea/awesome-rl,Reinforcement-learning resources.,szenergy/awesome-lidar,Follow the source repository license. The atlas does not claim ownership of the linked collection.,source_listed,2026-08-03
awesome-robotics-libraries,Awesome Robotics Libraries,related-list,related-list,https://github.com/jslee02/awesome-robotics-libraries,https://github.com/jslee02/awesome-robotics-libraries,Robotics software libraries and frameworks.,szenergy/awesome-lidar,Follow the source repository license. The atlas does not claim ownership of the linked collection.,source_listed,2026-08-03
awesome-robotics,Awesome Robotics,related-list,related-list,https://github.com/Kiloreux/awesome-robotics,https://github.com/Kiloreux/awesome-robotics,Broad robotics resources and projects.,szenergy/awesome-lidar,Follow the source repository license. The atlas does not claim ownership of the linked collection.,source_listed,2026-08-03
awesome-ros-2,Awesome ROS 2,related-list,related-list,https://github.com/fkromer/awesome-ros2,https://github.com/fkromer/awesome-ros2,"ROS 2 packages, tools, and learning resources.",szenergy/awesome-lidar,Follow the source repository license. The atlas does not claim ownership of the linked collection.,source_listed,2026-08-03
awesome-slam-datasets,Awesome SLAM Datasets,related-list,related-list,https://github.com/youngguncho/awesome-slam-datasets,https://github.com/youngguncho/awesome-slam-datasets,SLAM dataset collection.,szenergy/awesome-lidar,Follow the source repository license. The atlas does not claim ownership of the linked collection.,source_listed,2026-08-03
awsim,AWSIM,simulator,simulator,https://tier4.github.io/AWSIM/,https://github.com/tier4/AWSIM,Unity-based autonomous-driving simulator designed for Autoware and ROS 2.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
baidu-apollo,Baidu Apollo,framework,framework,https://apollo.auto/,https://github.com/ApolloAuto/apollo,Autonomous-driving development and deployment platform.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
blender-point-cloud-visualizer,Blender Point Cloud Visualizer,tool,tool,https://github.com/uhlik/bpy,https://github.com/uhlik/bpy,"Blender point-cloud import, rendering, and editing tools.",szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
blickfeld,Blickfeld,manufacturer,manufacturer,https://www.blickfeld.com/,https://github.com/Blickfeld,"Solid-state LiDAR for mobility, industry, and IoT.",szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
carla,CARLA,simulator,simulator,https://carla.org/,https://github.com/carla-simulator/carla,Autonomous-driving simulator with configurable LiDAR and multimodal sensors.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
cepton,Cepton,manufacturer,manufacturer,https://www.cepton.com/,,Automotive and smart-infrastructure LiDAR systems.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
cloudcompare,CloudCompare,tool,tool,https://www.cloudcompare.org/,https://github.com/CloudCompare/CloudCompare,"Cross-platform point-cloud and mesh inspection, registration, measurement, and editing.",szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
cloudpeek,CloudPeek,tool,tool,https://github.com/NeuralSegmentation/CloudPeek,https://github.com/NeuralSegmentation/CloudPeek,Lightweight single-header C++ point-cloud viewer.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
coppeliasim,CoppeliaSim,simulator,simulator,https://www.coppeliarobotics.com/,,General-purpose robot simulator with programmable sensors and environments.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
foxglove,Foxglove,tool,tool,https://foxglove.dev/,https://github.com/foxglove/studio,Robotics visualization and data-inspection platform.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
gazebo,Gazebo,simulator,simulator,https://gazebosim.org/,https://github.com/gazebosim/gz-sim,Open robotics simulator with ROS and ROS 2 integration.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
hesai,Hesai,manufacturer,manufacturer,https://www.hesaitech.com/,https://github.com/HesaiTechnology,Automotive and robotics LiDAR manufacturer.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
hokuyo,Hokuyo,manufacturer,manufacturer,https://www.hokuyo-aut.jp/,,Industrial and robotics laser scanner manufacturer.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
ibeo,Ibeo,manufacturer,manufacturer,https://www.ibeo-as.com/,,Automotive laser-scanner company; current corporate status should be verified.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
innoviz,Innoviz,manufacturer,manufacturer,https://innoviz.tech/,,Automotive solid-state LiDAR systems.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
kaolin,Kaolin,library,library,https://kaolin.readthedocs.io/,https://github.com/NVIDIAGameWorks/kaolin,NVIDIA library for 3D deep-learning research.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
lastools,LAStools,library,library,https://rapidlasso.de/lastools/,https://github.com/LAStools/LAStools,Command-line and C++ tools for LAS/LAZ processing and compression.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
lichtblick,Lichtblick,tool,tool,https://github.com/Lichtblick-Suite/lichtblick,https://github.com/Lichtblick-Suite/lichtblick,Open-source robotics visualization suite.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
livox,Livox,manufacturer,manufacturer,https://www.livoxtech.com/,https://github.com/Livox-SDK,Solid-state and non-repetitive scanning LiDAR manufacturer.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
lslidar,LSLiDAR,manufacturer,manufacturer,https://www.lslidar.com/,https://github.com/Lslidar,LiDAR sensors and integrated perception solutions.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
luminar,Luminar,manufacturer,manufacturer,https://www.luminartech.com/,https://github.com/luminartech,Long-range automotive LiDAR and perception systems.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
meshlab,MeshLab,tool,tool,https://www.meshlab.net/,https://github.com/cnr-isti-vclab/meshlab,Open-source system for processing and editing meshes and point clouds.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
microvision,MicroVision,manufacturer,manufacturer,https://microvision.com/,https://github.com/MicroVision-Inc,MEMS-based automotive LiDAR and perception technology.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
neuvition,Neuvition,manufacturer,manufacturer,https://www.neuvition.com/,,Solid-state LiDAR systems.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
open3d,Open3D,library,library,https://www.open3d.org/,https://github.com/isl-org/Open3D,"C++ and Python library for 3D data processing, reconstruction, learning, and visualization.",szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
ossdc-sim,OSSDC SIM,simulator,simulator,https://github.com/OSSDC/OSSDC-SIM,https://github.com/OSSDC/OSSDC-SIM,Community continuation derived from the SVL simulator ecosystem.,szenergy/awesome-lidar,Review the official site and repository license before use; listing does not imply endorsement.,source_listed,2026-08-03
