id,name,year,category,representation,original_authors,primary_publication,implementation,implementation_relationship,code_license,weights_terms,commonly_evaluated_on,verification_status,last_checked,discovery_sources,notes
automatic-urban-point-cloud-labelling-by-data-fusion,Automatic Urban Point-Cloud Labelling by Data Fusion,2020,semantic segmentation,multi-sensor data fusion and automatic labels,See primary publication,https://arxiv.org/abs/2008.09984,https://github.com/PRBonn/semantic-kitti-api,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
cartographer,Google Cartographer,2016,2D/3D SLAM,"submaps, scan matching, pose graph",Wolfgang Hess et al.,https://doi.org/10.1109/ICRA.2016.7487258,https://github.com/cartographer-project/cartographer,official_or_author_maintained,Apache-2.0,verify separately,,verified,2026-08-03,,Official project is maintained as open-source software; ROS integration is a separate repository.
cylinder3d,Cylinder3D,2021,LiDAR semantic segmentation,cylindrical voxel partition and sparse convolution,Xinge Zhu et al.,https://doi.org/10.1109/CVPR46437.2021.00919,https://github.com/xinge008/Cylinder3D,official_or_author_maintained,Apache-2.0,verify separately,SemanticKITTI | nuScenes,verified,2026-08-03,,
depthcontrast,DepthContrast,2021,Self-supervised 3D learning,contrastive learning from depth/point clouds,Pri3D/DepthContrast authors led by Zaiwei Zhang et al.,https://doi.org/10.1109/ICCV48922.2021.00348,https://github.com/facebookresearch/DepthContrast,official_or_author_maintained,CC BY-NC 4.0 / repository-specific; verify,verify separately,,partial,2026-08-03,,Archived research repository; verify code and model terms separately.
detection-by-tracker,detection_by_tracker,2020,3D multi-object tracking,tracking-driven detection,See primary publication,https://www.semanticscholar.org/paper/3D-LIDAR-Multi-Object-Tracking-for-Autonomous-and-Rachman/bafc8fcdee9b22708491ea1293524ece9e314851,https://autowarefoundation.github.io/autoware.universe/main/perception/detection_by_tracker/,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
direct-visual-lidar-calibration,Direct Visual-LiDAR Calibration,2023,sensor calibration,targetless direct visual-LiDAR alignment,See primary publication,https://staff.aist.go.jp/k.koide/assets/pdf/icra2023.pdf,https://github.com/koide3/direct_visual_lidar_calibration,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
fast-lio2,FAST-LIO2,2022,LiDAR-inertial odometry,"direct point-to-map, iterated Kalman filter",Wei Xu et al.,https://doi.org/10.1109/TRO.2022.3141876,https://github.com/hku-mars/FAST_LIO,official_or_author_maintained,GPL-2.0,verify separately,,verified,2026-08-03,,Official research-group implementation. GPL obligations apply to derivative distribution.
frustum-pointnets,Frustum PointNets,2018,3D object detection,RGB-D frustums and point networks,See primary publication,https://arxiv.org/abs/1711.08488,https://github.com/charlesq34/frustum-pointnets,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
gmapping,GMapping / OpenSLAM GMapping,2007,2D SLAM,Rao-Blackwellized particle filter,"Giorgio Grisetti, Cyrill Stachniss, and Wolfram Burgard",https://doi.org/10.1109/TRO.2007.896411,https://openslam-org.github.io/gmapping.html,canonical_project_page,See repository license,verify separately,,verified,2026-08-03,,Foundational 2D laser SLAM; ROS wrappers are separate integrations.
gseg3d,GSeg3D,2025,ground segmentation,grid-based high-precision segmentation,See primary publication,https://arxiv.org/abs/2603.04208,https://github.com/szenergy/GSeg3D,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record. The publication is the author accepted manuscript associated with ICRCV 2025; implementation availability and license must be checked at the repository before reuse.
hector-slam,Hector SLAM,2011,2D SLAM,scan matching without wheel odometry,Stefan Kohlbrecher et al.,https://doi.org/10.1109/SSRR.2011.6106777,https://github.com/tu-darmstadt-ros-pkg/hector_slam,official_or_author_maintained,BSD-style; verify repository,verify separately,,verified,2026-08-03,,Designed for high-rate planar laser scan matching.
heteroscedastic-aleatoric-lidar-3d-detection,Heteroscedastic Aleatoric LiDAR 3D Detection,2019,3D object detection,uncertainty-aware detection,See primary publication,https://arxiv.org/abs/1809.05590,https://arxiv.org/abs/1809.05590,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse. No official implementation was confirmed in the upstream list.
kiss-icp,KISS-ICP,2023,LiDAR odometry,adaptive point-to-point ICP,See primary publication,https://arxiv.org/abs/2209.15397,https://github.com/PRBonn/kiss-icp,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
kiss-slam,KISS-SLAM,2025,3D LiDAR SLAM,KISS-ICP-based mapping and loop closure,See primary publication,https://www.ipb.uni-bonn.de/research/kiss-slam/,https://github.com/PRBonn/kiss-slam,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
kpconv,KPConv,2019,3D semantic segmentation,kernel point convolution,Hugues Thomas et al.,https://doi.org/10.1109/ICCV.2019.00651,https://github.com/HuguesTHOMAS/KPConv-PyTorch,official_or_author_maintained,MIT,verify separately,Semantic3D | S3DIS | ModelNet40,verified,2026-08-03,,
lasermix,LaserMix,2023,Semi-supervised LiDAR segmentation,scene mixing with spatial priors,Lingdong Kong et al.,https://doi.org/10.1109/CVPR52729.2023.02077,https://github.com/ldkong1205/LaserMix,official_or_author_maintained,Apache-2.0,verify separately,SemanticKITTI | nuScenes,verified,2026-08-03,,
learning-to-optimally-segment-point-clouds,Learning to Optimally Segment Point Clouds,2020,3D instance segmentation,learned point-cloud segmentation,See primary publication,https://arxiv.org/abs/1912.04976,https://github.com/peiyunh/opcseg,official_or_author_maintained_unverified,verify from repository,verify separately,,discovery_only,2026-08-03,szenergy/awesome-lidar,Discovery-expanded record; implementation relationship and license should be rechecked before reuse.
lego-loam,LeGO-LOAM,2018,LiDAR odometry and mapping,ground-optimized feature-based LiDAR,Tixiao Shan and Brendan Englot,https://doi.org/10.1109/IROS.2018.8594299,https://github.com/RobustFieldAutonomyLab/LeGO-LOAM,official_or_author_maintained,BSD-3-Clause,verify separately,,verified,2026-08-03,,Author-lab implementation for lightweight ground vehicle LiDAR odometry.
